Maldjd;0-00;6;!_HKJLF;!ooth;1;!_HKJLF
http//www.com.com;00:01;00:00;1;15:25;!ooth;phrase des prases
http//www.com.com;00:00;23:59;phrase des prases;1;mm;http//www.com.com
!_HKJLF;6;23:58;!ooth;!_HKJLF;phrase des prases;!ooth
!_HKJLF;00:01;23:59;Nom;http//www.com.com;Maldjd;Maldjd
http//www.com.com;0-00;0-00;Maldjd;phrase des prases;!_HKJLF;1
!_HKJLF;23:58;00:01;mm;Maldjd;http//www.com.com;mm
1;5;23:59;http//www.com.com;mm;15:25;15:25
15:25;5;19.17;15:25;!_HKJLF;Maldjd;phrase des prases
phrase des prases;6;04:35;!_HKJLF;1;http//www.com.com;1
!ooth;00:00;0-00;1;http//www.com.com;1;15:25
15:25;21;23:58;Nom;15:25;15:25;!_HKJLF
phrase des prases;19.17;0-00;phrase des prases;!ooth;phrase des prases;mm
mm;23:58;5;15:25;mm;!_HKJLF;http//www.com.com
mm;23:59;00:00;!ooth;phrase des prases;mm;Maldjd
15:25;00:01;04:35;http//www.com.com;Maldjd;1;!ooth
!ooth;00:01;00:01;!_HKJLF;phrase des prases;15:25;http//www.com.com
15:25;00:00;6;Maldjd;mm;!ooth;mm
mm;5;04:35;mm;http//www.com.com;phrase des prases;!_HKJLF
1;21;04:35;!ooth;!ooth;!ooth;15:25
Maldjd;00:01;23:58;mm;mm;mm;1
!ooth;6;23:59;phrase des prases;Maldjd;!_HKJLF;phrase des prases
1;00:01;0-00;15:25;!_HKJLF;http//www.com.com;!_HKJLF
1;0-00;00:00;mm;1;Maldjd;!ooth
Maldjd;21;5;Maldjd;Maldjd;phrase des prases;Maldjd
mm;04:35;21;!_HKJLF;15:25;Maldjd;15:25
1;6;19.17;Maldjd;15:25;1;http//www.com.com
http//www.com.com;23:58;6;phrase des prases;http//www.com.com;15:25;!ooth
!ooth;23:58;00:00;Nom;!_HKJLF;phrase des prases;1
15:25;6;5;http//www.com.com;http//www.com.com;mm;mm
!_HKJLF;21;0-00;http//www.com.com;1;mm;phrase des prases
!_HKJLF;00:00;5;1;!ooth;Maldjd;1
15:25;0-00;5;phrase des prases;phrase des prases;http//www.com.com;15:25
phrase des prases;19.17;5;mm;!_HKJLF;1;phrase des prases
Maldjd;04:35;19.17;Nom;1;!ooth;Maldjd
!ooth;5;23:58;http//www.com.com;!ooth;!_HKJLF;Maldjd
Maldjd;00:00;04:35;1;!_HKJLF;15:25;Maldjd
1;23:59;21;1;1;!_HKJLF;mm
phrase des prases;23:58;21;http//www.com.com;phrase des prases;!ooth;!_HKJLF
Maldjd;23:59;23:59;15:25;15:25;http//www.com.com;!ooth
!ooth;19.17;04:35;!ooth;mm;Maldjd;http//www.com.com
mm;00:01;5;!ooth;1;15:25;mm
http//www.com.com;00:01;19.17;!_HKJLF;Maldjd;phrase des prases;15:25
phrase des prases;23:59;6;Nom;Maldjd;phrase des prases;http//www.com.com
http//www.com.com;6;21;Nom;mm;http//www.com.com;Maldjd
phrase des prases;00:00;19.17;mm;phrase des prases;!_HKJLF;!ooth
1;00:00;00:01;!ooth;15:25;phrase des prases;phrase des prases
!_HKJLF;6;6;15:25;!_HKJLF;mm;15:25
mm;00:00;21;15:25;Maldjd;1;1
!_HKJLF;23:59;23:58;!_HKJLF;http//www.com.com;!ooth;phrase des prases
phrase des prases;23:58;23:58;Maldjd;1;1;15:25
http//www.com.com;23:59;5;phrase des prases;mm;Maldjd;!_HKJLF
mm;0-00;23:59;15:25;!_HKJLF;phrase des prases;mm
mm;19.17;21;Maldjd;!ooth;mm;!ooth
Maldjd;04:35;00:00;http//www.com.com;http//www.com.com;http//www.com.com;http//www.com.com
!_HKJLF;21;19.17;phrase des prases;http//www.com.com;15:25;1
phrase des prases;5;6;!ooth;15:25;!ooth;1
15:25;19.17;23:59;1;phrase des prases;!_HKJLF;!_HKJLF
1;00:00;00:00;!_HKJLF;Maldjd;mm;!_HKJLF
15:25;23:59;0-00;mm;15:25;1;Maldjd
!ooth;0-00;19.17;Nom;15:25;mm;mm
Maldjd;04:35;00:01;phrase des prases;!_HKJLF;!_HKJLF;!ooth
Maldjd;23:58;19.17;!ooth;!ooth;http//www.com.com;phrase des prases
mm;00:00;23:58;1;phrase des prases;http//www.com.com;http//www.com.com
!_HKJLF;5;00:00;Nom;phrase des prases;1;mm
http//www.com.com;21;00:01;15:25;!_HKJLF;!ooth;http//www.com.com
phrase des prases;19.17;00:01;15:25;http//www.com.com;Maldjd;Maldjd
http//www.com.com;19.17;23:58;http//www.com.com;Maldjd;Maldjd;mm
phrase des prases;5;00:01;1;mm;mm;!ooth
!_HKJLF;0-00;04:35;Maldjd;phrase des prases;15:25;phrase des prases
15:25;04:35;5;!ooth;phrase des prases;phrase des prases;!_HKJLF
15:25;23:58;0-00;mm;!ooth;Maldjd;http//www.com.com
!ooth;04:35;23:59;Maldjd;!ooth;!ooth;1
mm;04:35;0-00;Nom;Maldjd;!ooth;!ooth
http//www.com.com;04:35;04:35;15:25;!ooth;15:25;mm
